headline,stock,date,publisher,url
MSFT CFO Steps Down,MSFT,2025-01-16 16:15:00,Zacks,https://finance.example.com/news/1915
GOOGL Announces New Product Line,GOOGL,2025-01-17 10:06:00,Zacks,https://finance.example.com/news/1073
Insider Buying at MSFT,MSFT,2025-01-17 12:04:00,Wall Street Journal,https://finance.example.com/news/38
META Partners with Industry Leader,META,2025-01-17 14:16:00,Financial Times,https://finance.example.com/news/585
AMZN Shares Drop After Weak Guidance,AMZN,2025-01-17 16:41:00,InvestorPlace,https://finance.example.com/news/1074
AAPL Announces New Product Line,AAPL,2025-01-17 17:36:00,MarketWatch,https://finance.example.com/news/1176
Analysts Upgrade JPM to Buy,JPM,2025-01-18 08:15:00,InvestorPlace,https://finance.example.com/news/1966
Tech Sell-off Drags JPM Lower,JPM,2025-01-18 11:55:00,Bloomberg,https://finance.example.com/news/1530
FDA Approves AMZN Drug Application,AMZN,2025-01-18 12:40:00,Reuters,https://finance.example.com/news/1898
Market Rally Lifts MSFT Higher,MSFT,2025-01-18 14:38:00,Reuters,https://finance.example.com/news/468
Insider Buying at JPM,JPM,2025-01-18 15:36:00,CNBC,https://finance.example.com/news/732
Analysts Upgrade AAPL to Buy,AAPL,2025-01-19 10:09:00,MarketWatch,https://finance.example.com/news/1986
AMZN Misses Q3 Targets,AMZN,2025-01-19 14:24:00,Bloomberg,https://finance.example.com/news/1211
META Shares Drop After Weak Guidance,META,2025-01-19 15:21:00,InvestorPlace,https://finance.example.com/news/1657
JPM Expands into New Markets,JPM,2025-01-19 16:45:00,Wall Street Journal,https://finance.example.com/news/772
META Announces New Product Line,META,2025-01-19 18:59:00,MarketWatch,https://finance.example.com/news/1268
Insider Buying at JPM,JPM,2025-01-20 08:24:00,CNBC,https://finance.example.com/news/1894
GOOGL Announces New Product Line,GOOGL,2025-01-20 11:58:00,Zacks,https://finance.example.com/news/327
Tech Sell-off Drags TSLA Lower,TSLA,2025-01-20 19:12:00,Bloomberg,https://finance.example.com/news/1207
Insider Buying at BAC,BAC,2025-01-21 09:43:00,Bloomberg,https://finance.example.com/news/1400
BAC CFO Steps Down,BAC,2025-01-21 10:48:00,Zacks,https://finance.example.com/news/921
JPM Hits All-Time High on Strong Earnings,JPM,2025-01-21 14:46:00,Reuters,https://finance.example.com/news/1360
JPM Shares Drop After Weak Guidance,JPM,2025-01-21 15:21:00,Zacks,https://finance.example.com/news/1590
Market Rally Lifts META Higher,META,2025-01-21 19:48:00,CNBC,https://finance.example.com/news/169
FDA Approves WMT Drug Application,WMT,2025-01-22 07:52:00,Zacks,https://finance.example.com/news/1711
WMT Announces Stock Buyback,WMT,2025-01-22 08:58:00,Financial Times,https://finance.example.com/news/1283
JPM Announces New Product Line,JPM,2025-01-22 11:23:00,Reuters,https://finance.example.com/news/71
Tech Sell-off Drags PFE Lower,PFE,2025-01-22 12:34:00,InvestorPlace,https://finance.example.com/news/128
MSFT Expands into New Markets,MSFT,2025-01-22 13:01:00,Zacks,https://finance.example.com/news/279
AMZN Announces New Product Line,AMZN,2025-01-22 13:05:00,InvestorPlace,https://finance.example.com/news/734
AAPL CFO Steps Down,AAPL,2025-01-22 13:07:00,Wall Street Journal,https://finance.example.com/news/1318
Insider Buying at BAC,BAC,2025-01-22 14:14:00,Reuters,https://finance.example.com/news/1770
Market Rally Lifts AMZN Higher,AMZN,2025-01-22 14:32:00,Financial Times,https://finance.example.com/news/1797
GOOGL Announces Stock Buyback,GOOGL,2025-01-22 18:59:00,Bloomberg,https://finance.example.com/news/1051
WMT Partners with Industry Leader,WMT,2025-01-22 19:46:00,Zacks,https://finance.example.com/news/583
Tech Sell-off Drags GOOGL Lower,GOOGL,2025-01-23 07:08:00,MarketWatch,https://finance.example.com/news/1760
Analysts Upgrade AAPL to Buy,AAPL,2025-01-23 09:36:00,CNBC,https://finance.example.com/news/934
AMZN Misses Q3 Targets,AMZN,2025-01-23 13:28:00,Wall Street Journal,https://finance.example.com/news/469
AAPL Reports Record Quarterly Revenue,AAPL,2025-01-23 17:54:00,Bloomberg,https://finance.example.com/news/1212
WMT Hits All-Time High on Strong Earnings,WMT,2025-01-24 07:08:00,Financial Times,https://finance.example.com/news/403
MSFT Announces New Product Line,MSFT,2025-01-24 07:19:00,Zacks,https://finance.example.com/news/228
MSFT Partners with Industry Leader,MSFT,2025-01-24 07:54:00,CNBC,https://finance.example.com/news/815
FDA Approves TSLA Drug Application,TSLA,2025-01-24 08:33:00,MarketWatch,https://finance.example.com/news/1213
Insider Buying at AMZN,AMZN,2025-01-24 19:39:00,Wall Street Journal,https://finance.example.com/news/1785
Tech Sell-off Drags META Lower,META,2025-01-25 09:22:00,MarketWatch,https://finance.example.com/news/1390
AMZN Partners with Industry Leader,AMZN,2025-01-25 19:41:00,MarketWatch,https://finance.example.com/news/1580
TSLA Hits All-Time High on Strong Earnings,TSLA,2025-01-26 16:30:00,CNBC,https://finance.example.com/news/52
Insider Buying at META,META,2025-01-27 08:40:00,InvestorPlace,https://finance.example.com/news/66
GOOGL Reports Record Quarterly Revenue,GOOGL,2025-01-27 09:47:00,InvestorPlace,https://finance.example.com/news/243
Tech Sell-off Drags BAC Lower,BAC,2025-01-27 10:17:00,CNBC,https://finance.example.com/news/178
AAPL Shares Drop After Weak Guidance,AAPL,2025-01-27 15:11:00,CNBC,https://finance.example.com/news/1344
AAPL Expands into New Markets,AAPL,2025-01-27 16:35:00,Wall Street Journal,https://finance.example.com/news/398
Analysts Upgrade MSFT to Buy,MSFT,2025-01-27 17:09:00,Wall Street Journal,https://finance.example.com/news/1878
BAC Beats Earnings Estimates,BAC,2025-01-28 07:49:00,InvestorPlace,https://finance.example.com/news/1019
MSFT Expands into New Markets,MSFT,2025-01-28 08:27:00,InvestorPlace,https://finance.example.com/news/1222
AAPL Shares Drop After Weak Guidance,AAPL,2025-01-28 08:31:00,Reuters,https://finance.example.com/news/1469
MSFT Misses Q3 Targets,MSFT,2025-01-28 10:39:00,CNBC,https://finance.example.com/news/1117
AAPL Expands into New Markets,AAPL,2025-01-28 13:32:00,Financial Times,https://finance.example.com/news/324
META Hits All-Time High on Strong Earnings,META,2025-01-28 15:18:00,CNBC,https://finance.example.com/news/148
Analysts Upgrade WMT to Buy,WMT,2025-01-29 09:32:00,MarketWatch,https://finance.example.com/news/470
TSLA Partners with Industry Leader,TSLA,2025-01-29 10:52:00,Reuters,https://finance.example.com/news/15
AAPL CFO Steps Down,AAPL,2025-01-29 11:22:00,Financial Times,https://finance.example.com/news/202
Market Rally Lifts PFE Higher,PFE,2025-01-29 11:42:00,CNBC,https://finance.example.com/news/634
Market Rally Lifts META Higher,META,2025-01-29 12:32:00,Bloomberg,https://finance.example.com/news/292
JPM CFO Steps Down,JPM,2025-01-29 17:15:00,Wall Street Journal,https://finance.example.com/news/1485
Tech Sell-off Drags TSLA Lower,TSLA,2025-01-29 18:04:00,InvestorPlace,https://finance.example.com/news/1581
Tech Sell-off Drags MSFT Lower,MSFT,2025-01-29 19:21:00,Financial Times,https://finance.example.com/news/1100
AMZN Partners with Industry Leader,AMZN,2025-01-30 10:02:00,Zacks,https://finance.example.com/news/752
Analysts Upgrade META to Buy,META,2025-01-30 10:56:00,Bloomberg,https://finance.example.com/news/30
GOOGL Hits All-Time High on Strong Earnings,GOOGL,2025-01-30 11:24:00,Bloomberg,https://finance.example.com/news/1701
Insider Buying at BAC,BAC,2025-01-30 15:26:00,InvestorPlace,https://finance.example.com/news/478
MSFT Misses Q3 Targets,MSFT,2025-01-31 09:28:00,InvestorPlace,https://finance.example.com/news/384
META CFO Steps Down,META,2025-02-01 07:37:00,Reuters,https://finance.example.com/news/1482
Market Rally Lifts META Higher,META,2025-02-01 09:48:00,Bloomberg,https://finance.example.com/news/727
AMZN Misses Q3 Targets,AMZN,2025-02-01 15:01:00,InvestorPlace,https://finance.example.com/news/1619
PFE Reports Record Quarterly Revenue,PFE,2025-02-01 17:30:00,CNBC,https://finance.example.com/news/1269
GOOGL Partners with Industry Leader,GOOGL,2025-02-01 18:50:00,MarketWatch,https://finance.example.com/news/859
Analysts Upgrade META to Buy,META,2025-02-02 07:55:00,Wall Street Journal,https://finance.example.com/news/1385
BAC Hits All-Time High on Strong Earnings,BAC,2025-02-02 11:41:00,Financial Times,https://finance.example.com/news/823
META Beats Earnings Estimates,META,2025-02-02 11:45:00,Bloomberg,https://finance.example.com/news/639
FDA Approves MSFT Drug Application,MSFT,2025-02-02 12:17:00,Financial Times,https://finance.example.com/news/767
META Hits All-Time High on Strong Earnings,META,2025-02-02 12:22:00,Zacks,https://finance.example.com/news/1377
WMT Shares Drop After Weak Guidance,WMT,2025-02-02 14:28:00,Financial Times,https://finance.example.com/news/244
BAC Shares Drop After Weak Guidance,BAC,2025-02-03 13:31:00,Bloomberg,https://finance.example.com/news/151
TSLA Misses Q3 Targets,TSLA,2025-02-03 15:34:00,MarketWatch,https://finance.example.com/news/365
Insider Buying at TSLA,TSLA,2025-02-04 08:24:00,InvestorPlace,https://finance.example.com/news/736
Market Rally Lifts WMT Higher,WMT,2025-02-04 08:52:00,Reuters,https://finance.example.com/news/1448
AAPL Announces New Product Line,AAPL,2025-02-04 10:49:00,Financial Times,https://finance.example.com/news/356
FDA Approves GOOGL Drug Application,GOOGL,2025-02-04 14:28:00,MarketWatch,https://finance.example.com/news/291
WMT CFO Steps Down,WMT,2025-02-04 15:34:00,Reuters,https://finance.example.com/news/336
Market Rally Lifts AAPL Higher,AAPL,2025-02-04 16:50:00,Wall Street Journal,https://finance.example.com/news/1757
GOOGL Beats Earnings Estimates,GOOGL,2025-02-04 19:32:00,CNBC,https://finance.example.com/news/874
AMZN Partners with Industry Leader,AMZN,2025-02-05 09:08:00,MarketWatch,https://finance.example.com/news/1038
Insider Buying at TSLA,TSLA,2025-02-05 10:23:00,MarketWatch,https://finance.example.com/news/60
Analysts Upgrade GOOGL to Buy,GOOGL,2025-02-05 13:18:00,Wall Street Journal,https://finance.example.com/news/1822
BAC Misses Q3 Targets,BAC,2025-02-05 13:57:00,Wall Street Journal,https://finance.example.com/news/1826
TSLA Expands into New Markets,TSLA,2025-02-05 17:58:00,Financial Times,https://finance.example.com/news/86
TSLA Reports Record Quarterly Revenue,TSLA,2025-02-05 19:17:00,Financial Times,https://finance.example.com/news/80
AMZN Partners with Industry Leader,AMZN,2025-02-05 19:30:00,Financial Times,https://finance.example.com/news/1459
WMT Hits All-Time High on Strong Earnings,WMT,2025-02-06 11:04:00,Wall Street Journal,https://finance.example.com/news/1080
META Beats Earnings Estimates,META,2025-02-06 16:52:00,Wall Street Journal,https://finance.example.com/news/889
Analysts Upgrade WMT to Buy,WMT,2025-02-06 17:46:00,MarketWatch,https://finance.example.com/news/1991
BAC CFO Steps Down,BAC,2025-02-07 07:29:00,Bloomberg,https://finance.example.com/news/58
Tech Sell-off Drags BAC Lower,BAC,2025-02-07 07:37:00,Bloomberg,https://finance.example.com/news/626
PFE Partners with Industry Leader,PFE,2025-02-07 14:26:00,Wall Street Journal,https://finance.example.com/news/96
TSLA Announces Stock Buyback,TSLA,2025-02-07 14:29:00,Financial Times,https://finance.example.com/news/372
BAC Hits All-Time High on Strong Earnings,BAC,2025-02-07 17:44:00,Zacks,https://finance.example.com/news/1841
FDA Approves GOOGL Drug Application,GOOGL,2025-02-07 19:54:00,Reuters,https://finance.example.com/news/712
MSFT Misses Q3 Targets,MSFT,2025-02-08 07:54:00,Reuters,https://finance.example.com/news/914
AMZN Partners with Industry Leader,AMZN,2025-02-08 12:38:00,InvestorPlace,https://finance.example.com/news/520
Insider Buying at AAPL,AAPL,2025-02-08 17:59:00,MarketWatch,https://finance.example.com/news/514
GOOGL Reports Record Quarterly Revenue,GOOGL,2025-02-09 08:10:00,MarketWatch,https://finance.example.com/news/1381
FDA Approves JPM Drug Application,JPM,2025-02-09 08:52:00,CNBC,https://finance.example.com/news/1435
FDA Approves AMZN Drug Application,AMZN,2025-02-09 09:37:00,Wall Street Journal,https://finance.example.com/news/609
Tech Sell-off Drags BAC Lower,BAC,2025-02-09 12:16:00,Wall Street Journal,https://finance.example.com/news/535
Tech Sell-off Drags TSLA Lower,TSLA,2025-02-09 17:52:00,MarketWatch,https://finance.example.com/news/1498
FDA Approves META Drug Application,META,2025-02-09 18:18:00,Wall Street Journal,https://finance.example.com/news/104
Insider Buying at BAC,BAC,2025-02-10 13:39:00,MarketWatch,https://finance.example.com/news/1010
AMZN Reports Record Quarterly Revenue,AMZN,2025-02-10 13:40:00,Wall Street Journal,https://finance.example.com/news/1035
AMZN Beats Earnings Estimates,AMZN,2025-02-10 13:46:00,Zacks,https://finance.example.com/news/1880
BAC Beats Earnings Estimates,BAC,2025-02-10 15:56:00,Bloomberg,https://finance.example.com/news/1263
GOOGL Announces New Product Line,GOOGL,2025-02-10 16:55:00,InvestorPlace,https://finance.example.com/news/204
AMZN Announces New Product Line,AMZN,2025-02-10 18:38:00,MarketWatch,https://finance.example.com/news/1603
BAC Expands into New Markets,BAC,2025-02-10 19:30:00,MarketWatch,https://finance.example.com/news/1593
AAPL Beats Earnings Estimates,AAPL,2025-02-11 09:04:00,Bloomberg,https://finance.example.com/news/53
AMZN Expands into New Markets,AMZN,2025-02-11 12:14:00,Reuters,https://finance.example.com/news/325
AMZN Misses Q3 Targets,AMZN,2025-02-11 19:30:00,Bloomberg,https://finance.example.com/news/1788
JPM Beats Earnings Estimates,JPM,2025-02-11 19:56:00,Bloomberg,https://finance.example.com/news/1723
Tech Sell-off Drags WMT Lower,WMT,2025-02-12 08:16:00,CNBC,https://finance.example.com/news/1020
FDA Approves META Drug Application,META,2025-02-12 09:32:00,Bloomberg,https://finance.example.com/news/1271
JPM Hits All-Time High on Strong Earnings,JPM,2025-02-12 13:56:00,MarketWatch,https://finance.example.com/news/1600
AMZN Hits All-Time High on Strong Earnings,AMZN,2025-02-12 15:54:00,Zacks,https://finance.example.com/news/1404
JPM Partners with Industry Leader,JPM,2025-02-12 19:58:00,MarketWatch,https://finance.example.com/news/1886
MSFT Shares Drop After Weak Guidance,MSFT,2025-02-13 08:27:00,Bloomberg,https://finance.example.com/news/256
JPM Announces New Product Line,JPM,2025-02-13 09:41:00,InvestorPlace,https://finance.example.com/news/1255
PFE Reports Record Quarterly Revenue,PFE,2025-02-13 10:07:00,InvestorPlace,https://finance.example.com/news/153
Tech Sell-off Drags GOOGL Lower,GOOGL,2025-02-13 11:28:00,Financial Times,https://finance.example.com/news/1796
GOOGL Announces Stock Buyback,GOOGL,2025-02-13 11:32:00,Financial Times,https://finance.example.com/news/93
PFE Misses Q3 Targets,PFE,2025-02-13 11:35:00,InvestorPlace,https://finance.example.com/news/306
BAC CFO Steps Down,BAC,2025-02-13 12:54:00,Wall Street Journal,https://finance.example.com/news/1810
MSFT Reports Record Quarterly Revenue,MSFT,2025-02-13 13:07:00,MarketWatch,https://finance.example.com/news/1914
Analysts Upgrade META to Buy,META,2025-02-13 13:23:00,CNBC,https://finance.example.com/news/1540
BAC Misses Q3 Targets,BAC,2025-02-13 16:06:00,CNBC,https://finance.example.com/news/659
Market Rally Lifts PFE Higher,PFE,2025-02-13 17:08:00,Financial Times,https://finance.example.com/news/570
JPM Expands into New Markets,JPM,2025-02-13 18:57:00,Wall Street Journal,https://finance.example.com/news/531
Insider Buying at TSLA,TSLA,2025-02-14 07:06:00,InvestorPlace,https://finance.example.com/news/1177
TSLA Hits All-Time High on Strong Earnings,TSLA,2025-02-14 08:03:00,CNBC,https://finance.example.com/news/888
AAPL Announces New Product Line,AAPL,2025-02-14 11:49:00,InvestorPlace,https://finance.example.com/news/969
AAPL Expands into New Markets,AAPL,2025-02-14 11:52:00,Zacks,https://finance.example.com/news/721
FDA Approves GOOGL Drug Application,GOOGL,2025-02-14 11:53:00,Zacks,https://finance.example.com/news/1932
Analysts Upgrade AAPL to Buy,AAPL,2025-02-14 13:07:00,Zacks,https://finance.example.com/news/633
WMT CFO Steps Down,WMT,2025-02-14 13:42:00,Bloomberg,https://finance.example.com/news/440
Tech Sell-off Drags JPM Lower,JPM,2025-02-15 08:40:00,Financial Times,https://finance.example.com/news/1905
Tech Sell-off Drags TSLA Lower,TSLA,2025-02-15 10:10:00,Zacks,https://finance.example.com/news/1057
MSFT Hits All-Time High on Strong Earnings,MSFT,2025-02-15 12:35:00,Bloomberg,https://finance.example.com/news/529
FDA Approves PFE Drug Application,PFE,2025-02-15 14:28:00,Financial Times,https://finance.example.com/news/832
BAC Hits All-Time High on Strong Earnings,BAC,2025-02-16 07:14:00,Wall Street Journal,https://finance.example.com/news/694
Insider Buying at BAC,BAC,2025-02-16 10:38:00,Bloomberg,https://finance.example.com/news/1518
BAC Hits All-Time High on Strong Earnings,BAC,2025-02-16 13:32:00,Zacks,https://finance.example.com/news/393
FDA Approves PFE Drug Application,PFE,2025-02-16 15:28:00,Reuters,https://finance.example.com/news/453
JPM Announces Stock Buyback,JPM,2025-02-16 18:06:00,Reuters,https://finance.example.com/news/608
WMT CFO Steps Down,WMT,2025-02-16 19:25:00,Reuters,https://finance.example.com/news/223
JPM Shares Drop After Weak Guidance,JPM,2025-02-17 07:27:00,CNBC,https://finance.example.com/news/1669
Market Rally Lifts AAPL Higher,AAPL,2025-02-17 07:38:00,Wall Street Journal,https://finance.example.com/news/1291
AAPL Hits All-Time High on Strong Earnings,AAPL,2025-02-17 10:14:00,Reuters,https://finance.example.com/news/2
MSFT CFO Steps Down,MSFT,2025-02-17 10:55:00,MarketWatch,https://finance.example.com/news/1570
BAC CFO Steps Down,BAC,2025-02-17 12:03:00,Wall Street Journal,https://finance.example.com/news/1402
Insider Buying at WMT,WMT,2025-02-17 12:38:00,Zacks,https://finance.example.com/news/715
AAPL Shares Drop After Weak Guidance,AAPL,2025-02-17 17:45:00,InvestorPlace,https://finance.example.com/news/1901
Analysts Upgrade JPM to Buy,JPM,2025-02-18 08:42:00,InvestorPlace,https://finance.example.com/news/41
JPM Expands into New Markets,JPM,2025-02-18 12:27:00,Financial Times,https://finance.example.com/news/254
FDA Approves AMZN Drug Application,AMZN,2025-02-18 15:42:00,Wall Street Journal,https://finance.example.com/news/1049
Market Rally Lifts TSLA Higher,TSLA,2025-02-18 15:58:00,Reuters,https://finance.example.com/news/512
MSFT Beats Earnings Estimates,MSFT,2025-02-18 16:23:00,Wall Street Journal,https://finance.example.com/news/1338
AMZN Announces New Product Line,AMZN,2025-02-19 07:18:00,InvestorPlace,https://finance.example.com/news/389
Market Rally Lifts GOOGL Higher,GOOGL,2025-02-19 09:30:00,Reuters,https://finance.example.com/news/943
WMT Shares Drop After Weak Guidance,WMT,2025-02-19 09:49:00,Reuters,https://finance.example.com/news/884
TSLA Expands into New Markets,TSLA,2025-02-19 13:22:00,Financial Times,https://finance.example.com/news/1484
Insider Buying at MSFT,MSFT,2025-02-19 15:09:00,Wall Street Journal,https://finance.example.com/news/505
Tech Sell-off Drags AAPL Lower,AAPL,2025-02-19 19:07:00,Wall Street Journal,https://finance.example.com/news/1444
Analysts Upgrade MSFT to Buy,MSFT,2025-02-19 19:53:00,CNBC,https://finance.example.com/news/1855
FDA Approves TSLA Drug Application,TSLA,2025-02-20 09:45:00,InvestorPlace,https://finance.example.com/news/1668
MSFT Reports Record Quarterly Revenue,MSFT,2025-02-20 10:46:00,Zacks,https://finance.example.com/news/904
Tech Sell-off Drags META Lower,META,2025-02-20 11:41:00,InvestorPlace,https://finance.example.com/news/1285
WMT Misses Q3 Targets,WMT,2025-02-20 12:31:00,Bloomberg,https://finance.example.com/news/1127
AAPL Expands into New Markets,AAPL,2025-02-20 15:06:00,Zacks,https://finance.example.com/news/1289
MSFT Shares Drop After Weak Guidance,MSFT,2025-02-20 15:10:00,MarketWatch,https://finance.example.com/news/1698
TSLA Announces New Product Line,TSLA,2025-02-20 15:43:00,CNBC,https://finance.example.com/news/1210
Insider Buying at TSLA,TSLA,2025-02-20 18:41:00,Financial Times,https://finance.example.com/news/326
BAC Announces Stock Buyback,BAC,2025-02-21 07:03:00,MarketWatch,https://finance.example.com/news/1916
Insider Buying at META,META,2025-02-21 07:53:00,CNBC,https://finance.example.com/news/1779
AMZN Shares Drop After Weak Guidance,AMZN,2025-02-21 09:48:00,Bloomberg,https://finance.example.com/news/617
BAC Hits All-Time High on Strong Earnings,BAC,2025-02-21 09:55:00,Reuters,https://finance.example.com/news/813
GOOGL Hits All-Time High on Strong Earnings,GOOGL,2025-02-21 12:13:00,Wall Street Journal,https://finance.example.com/news/717
